Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2020-05-27T04:00:00.000000+0000,70.444,70.667,69.153,70.473,33716000.0,,,,1.514,,,,-0.029,,,,,,,,,,,0
2020-05-28T04:00:00.000000+0000,69.43,71.616,69.388,70.418,33844000.0,70.473,,,2.229,1.514,,,-0.988,-0.029,,,33716000.0,,,70.473,70.473,70.473,-0.0007831323385350106,0
2020-05-29T04:00:00.000000+0000,70.428,71.205,70.25,71.024,36418000.0,70.418,70.473,,0.955,2.229,1.514,,-0.595,-0.988,-0.029,,33844000.0,33716000.0,,70.436,70.441,70.443,0.008567480772159597,1
2020-06-01T04:00:00.000000+0000,70.5,71.473,70.481,71.168,24342000.0,71.024,70.418,70.473,0.992,0.955,2.229,1.514,-0.668,-0.595,-0.988,-0.029,36418000.0,33844000.0,33716000.0,70.772,70.705,70.671,0.002027648060905772,1
2020-06-02T04:00:00.000000+0000,71.105,71.555,70.522,71.536,25562000.0,71.168,71.024,70.418,1.033,0.992,0.955,2.229,-0.431,-0.668,-0.595,-0.988,24342000.0,36418000.0,33844000.0,70.983,70.886,70.829,0.005154822829385561,1
2020-06-03T04:00:00.000000+0000,71.49,71.9,71.066,71.395,25124000.0,71.536,71.168,71.024,0.834,1.033,0.992,0.955,0.095,-0.431,-0.668,-0.595,25562000.0,24342000.0,36418000.0,71.268,71.117,71.023,-0.0019752144946896806,0
2020-06-04T04:00:00.000000+0000,71.097,71.523,69.821,70.192,29686000.0,71.395,71.536,71.168,1.701,0.834,1.033,0.992,0.906,0.095,-0.431,-0.668,25124000.0,25562000.0,24342000.0,71.333,71.21,71.115,-0.01699156156504048,0
2020-06-05T04:00:00.000000+0000,70.241,71.826,69.885,71.495,34698000.0,70.192,71.395,71.536,1.941,1.701,0.834,1.033,-1.254,0.906,0.095,-0.431,29686000.0,25124000.0,25562000.0,70.758,70.883,70.906,0.018389838646768627,1
2020-06-08T04:00:00.000000+0000,70.697,71.972,70.697,71.903,28084000.0,71.495,70.192,71.395,1.275,1.941,1.701,0.834,-1.206,-1.254,0.906,0.095,34698000.0,29686000.0,25124000.0,71.128,71.074,71.031,0.005698533458144013,1
2020-06-09T04:00:00.000000+0000,71.841,72.966,71.734,72.378,28184000.0,71.903,71.495,70.192,1.232,1.275,1.941,1.701,-0.537,-1.206,-1.254,0.906,28084000.0,34698000.0,29686000.0,71.516,71.328,71.206,0.006579939972740252,1
2020-06-10T04:00:00.000000+0000,72.546,73.277,72.383,72.859,30504000.0,72.378,71.903,71.495,0.894,1.232,1.275,1.941,-0.314,-0.537,-1.206,-1.254,28184000.0,28084000.0,34698000.0,71.947,71.645,71.433,0.006632430882299524,1
2020-06-11T04:00:00.000000+0000,71.698,72.294,69.686,69.777,39826000.0,72.859,72.378,71.903,2.608,0.894,1.232,1.275,1.921,-0.314,-0.537,-1.206,30504000.0,28184000.0,28084000.0,72.404,72.009,71.699,-0.04322389879813463,0
2020-06-12T04:00:00.000000+0000,71.002,71.425,68.892,70.241,38928000.0,69.777,72.859,72.378,2.534,2.608,0.894,1.232,0.761,1.921,-0.314,-0.537,39826000.0,30504000.0,28184000.0,71.09,71.345,71.35,0.0066312611634728735,1
2020-06-15T04:00:00.000000+0000,69.129,70.819,68.986,70.573,30078000.0,70.241,69.777,72.859,1.833,2.534,2.608,0.894,-1.444,0.761,1.921,-0.314,38928000.0,39826000.0,30504000.0,70.666,71.018,71.153,0.004708508032223202,1
2020-06-16T04:00:00.000000+0000,71.834,72.321,70.874,71.71,34184000.0,70.573,70.241,69.777,1.447,1.833,2.534,2.608,0.124,-1.444,0.761,1.921,30078000.0,38928000.0,39826000.0,70.619,70.887,71.052,0.015979076758121144,1
